Extent_km2,Resolution_m
168000,250
25370,500
5291,250
513120,1000
7856,30
4096,30
32801,30
1390,30
32801,30
4576,30
1919440,8000
168660,1000
513120,1000
127347,100
13900,1000
31423,1000
79385,30
49131,250
47156,1000
52504,250
618783,28000
300000,1000
4663,250
4500000,55000
10322,1000
4500000,1000
4161,250
513120,1000
31423,500
168000,250
300000,56000
52389,250
4418,30
40000,500
6686,500
1938745,12500
488,56000
755,30
6686,500
102,30
795000,1000
2528,30
438,40000
40816,250
618783,1000
40577,30
10350,250
618785,1000
1868,30
2360,30
40000,1000
181035,1000
1825,30
154000,1000
795000,28000
156000,1000
1904569,1000
743330,1000
1904569,1000
127347,1000
755000,1000
539237,500
746000,40000
743330,45000
40000,500
19023,1000
96077,1000
1904569,1000
1904569,10000
18580,1000
55000,10000
50000,500
3000,30
85800,500
571000,27000
32197,30
95000,37000
85800,30
131587,111000
12000,28000
795000,111000
11900,27000
120000,11000
15026,1000
795000,11000
331690,10000
331212,1000
6042,5000
618783,5500
4500000,10000
53800,27000
1904569,27000
128297,1000
47932,27700
132265,11000
1904569,8000
71600,27000
1904569,27700
795000,28000
1904569,55000
169020,27000
138793,27000
