Topic,Sub_topic,Field
Modeling and prediction,Agriculture ,Vegetation stress
Monitoring,Agriculture ,Soil moisture
Monitoring,Agriculture ,Vegetation stress
Assessment,Agriculture ,Crop stress
Assessment,Agriculture ,Land use change
Monitoring,Agriculture ,Vegetation stress
Modeling and prediction,Agriculture ,Vegetation stress
Modeling and prediction,Agriculture ,Land use change
Modeling and prediction,Agriculture ,Vegetation stress
Assessment,Agriculture ,Agriculture
Monitoring,Agriculture ,Vegetation stress
Monitoring,Agriculture ,Soil moisture
Assessment,Agriculture ,Crop stress
Modeling and prediction,Agriculture ,Vegetation stress
Assessment,Agriculture ,Land use change
Monitoring,Agriculture ,Vegetation stress
Assessment,Agriculture ,Land use change
Monitoring,Agriculture ,Vegetation stress
Assessment,Agriculture ,Crop stress
Monitoring,Agriculture ,Vegetation stress
Assessment,Agriculture,Crop stress
Monitoring,Agriculture ,Vegetation stress
Monitoring,Agriculture ,Crop stress
Monitoring,Agriculture ,Vegetation stress
Monitoring,Agriculture ,Vegetation stress
Monitoring,Agriculture ,Vegetation stress
Modeling and prediction,Agriculture ,Vegetation stress
Monitoring,Agriculture ,Soil moisture
Monitoring,Agriculture ,Vegetation stress
Monitoring,Agriculture ,Vegetation stress
Modeling and prediction,Agriculture ,Crop stress
Assessment,Agriculture ,Vegetation stress
Monitoring,Agriculture,Vegetation stress
Monitoring,Agriculture ,Crop stress
Monitoring,Agriculture ,Vegetation stress
Assessment,Agriculture ,Soil moisture
Monitoring,Agriculture ,Vegetation stress
Monitoring,Agriculture ,Vegetation stress
Monitoring,Agriculture ,Vegetation stress
Assessment,Agriculture ,Vegetation stress
Modeling and prediction,Agriculture ,Vegetation stress
Assessment,Agriculture ,Soil moisture
Monitoring,Agriculture ,Vegetation stress
Monitoring,Agriculture ,Land use change
Monitoring,Agriculture ,Crop stress
Assessment,Agriculture ,Crop stress
Assessment,Agriculture ,Agriculture
Assessment,Agriculture ,Vegetation stress
Assessment,Agriculture ,Vegetation stress
Assessment,Agriculture ,Land use change
Assessment,Agriculture ,Land use change
Assessment,Agriculture ,Crop stress
Monitoring,Agriculture ,Vegetation stress
Assessment,Agriculture ,Risk assessment
Monitoring,Hydrology,Streamflow
Assessment,Wildfire,Hotspot analysis
Assessment,Wildfire,Risk assessment
Assessment,Wildfire,Fire mapping
Assessment,Wildfire,Fire mapping
Assessment,Wildfire,Fire mapping
Monitoring,Wildfire,Hotspot analysis
Monitoring,Wildfire,Fire mapping
Assessment,Wildfire,Fire mapping
Modeling and prediction,Wildfire,Hotspot analysis
Assessment,Wildfire,Risk assessment
Assessment,Wildfire,Fire mapping
Monitoring,Wildfire,Hotspot analysis
Monitoring,Wildfire,Risk assessment
Monitoring,Wildfire,Hotspot analysis
Monitoring,Hydrology,Water surface
Monitoring,Hydrology,Water surface
Monitoring,Hydrology,Water surface
Monitoring,Hydrology,Water surface
Assessment,Hydrology,Water surface
Monitoring,Hydrology,Streamflow
Assessment,Hydrology,Water surface
Monitoring,Hydrology,Water surface
Monitoring,Hydrology,Water surface
Monitoring,Hydrology,Water surface
Assessment,Hydrology,Water surface
Monitoring,Hydrology,Water surface
Assessment,Meteorology,Meteorology
Assessment,Meteorology,Vegetation stress
Assessment,Meteorology,Land use change
Monitoring,Meteorology,Meteorology
Assessment,Meteorology,Meteorology
Assessment,Meteorology,Agriculture
Assessment,Meteorology,Hydrology
Assessment,Meteorology,Meteorology
Monitoring,Agriculture,Agriculture
Monitoring,Meteorology,Agriculture
Monitoring,Meteorology,Meteorology
Monitoring,Meteorology,Meteorology
Modeling and prediction,Meteorology,Meteorology
Assessment,Meteorology,Meteorology
Assessment,Agriculture,Vegetation stress
Assessment,Meteorology,Meteorology
Assessment,Meteorology,Meteorology
Assessment,Agriculture,Risk assessment
Modeling and prediction,Meteorology,Meteorology
Assessment,Agriculture,Soil moisture
Monitoring,Meteorology,Meteorology
